year,mean_Non-Tech,mean_Tech,median_Non-Tech,median_Tech,count_Non-Tech,count_Tech
2013,1.1993760649275247,1.265,1.2018518518518517,1.2666666666666666,54.0,6.0
2014,1.2103614553202267,1.257365184099055,1.2,1.2541666666666667,55.0,6.0
2015,1.22049098565646,1.2889422340573657,1.2222727272727272,1.2828125,56.0,6.0
2016,1.2269378984882995,1.3364051636533734,1.2142857142857142,1.325162996983205,57.0,6.0
2017,1.230690576719598,1.2811474247241175,1.2331050228310503,1.2857142857142858,58.0,7.0
2018,1.2345538270746037,1.2829767804557721,1.2371875,1.2777777777777777,57.0,7.0
2019,1.2204000897707528,1.2685031007683916,1.2,1.2839506172839505,61.0,7.0
2020,1.2208894873418263,1.3245473503694027,1.2,1.3358147229114972,61.0,9.0
2021,1.2248055181284907,1.2909496117778638,1.2029411764705882,1.2775842044134726,60.0,9.0
2022,1.253982173871892,1.349512615782149,1.2425255032776077,1.3190319792566982,60.0,10.0
2023,1.230543065402877,1.2911088919409885,1.2108571428571429,1.2995110544217687,57.0,10.0
2024,1.213303944532039,1.3206616347368987,1.2195121951219512,1.3289944727891156,58.0,10.0
